"filename", "language", "C++", "Properties", "Markdown", "YAML", "Shell Script", "JSON with Comments", "XML", "CUDA C++", "Python", "Java", "jsonc", "comment", "blank", "total"
"/Users/yangjiaqi/Documents/hugegraph_concurrency/libgrape-lite/grape/graph/vertex.h", "C++", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 24, 126
"/Users/yangjiaqi/Documents/hugegraph_concurrency/libgrape-lite/grape/io/io_adaptor_base.h", "C++", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 14, 75
"/Users/yangjiaqi/Documents/hugegraph_concurrency/libgrape-lite/grape/io/line_parser_base.h", "C++", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 20, 148
"/Users/yangjiaqi/Documents/hugegraph_concurrency/libgrape-lite/grape/io/local_io_adaptor.cc", "C++", 282, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 31, 333
"/Users/yangjiaqi/Documents/hugegraph_concurrency/libgrape-lite/grape/io/local_io_adaptor.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 26, 92
"/Users/yangjiaqi/Documents/hugegraph_concurrency/libgrape-lite/grape/io/tsv_line_parser.h", "C++", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 13, 79
"/Users/yangjiaqi/Documents/hugegraph_concurrency/libgrape-lite/grape/parallel/auto_parallel_message_manager.h", "C++", 294, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 38, 366
"/Users/yangjiaqi/Documents/hugegraph_concurrency/libgrape-lite/grape/parallel/batch_shuffle_message_manager.h", "C++", 438, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 74, 587
"/Users/yangjiaqi/Documents/hugegraph_concurrency/libgrape-lite/grape/parallel/default_message_manager.h", "C++", 216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 119, 41, 376
"/Users/yangjiaqi/Documents/hugegraph_concurrency/libgrape-lite/grape/parallel/message_in_buffer.h", "C++", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 12, 70
"/Users/yangjiaqi/Documents/hugegraph_concurrency/libgrape-lite/grape/parallel/message_manager_base.h", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 20, 122
"/Users/yangjiaqi/Documents/hugegraph_concurrency/libgrape-lite/grape/parallel/parallel_engine.h", "C++", 508, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 123, 67, 698
"/Users/yangjiaqi/Documents/hugegraph_concurrency/libgrape-lite/grape/parallel/parallel_engine_spec.h", "C++", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 9, 60
"/Users/yangjiaqi/Documents/hugegraph_concurrency/libgrape-lite/grape/parallel/parallel_message_manager.h", "C++", 372, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 146, 59, 577
"/Users/yangjiaqi/Documents/hugegraph_concurrency/libgrape-lite/grape/parallel/parallel_message_manager_opt.h", "C++", 474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 148, 67, 689
"/Users/yangjiaqi/Documents/hugegraph_concurrency/libgrape-lite/grape/parallel/sync_buffer.h", "C++", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 29, 133
"/Users/yangjiaqi/Documents/hugegraph_concurrency/libgrape-lite/grape/parallel/thread_local_message_buffer.h", "C++", 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 25, 219
"/Users/yangjiaqi/Documents/hugegraph_concurrency/libgrape-lite/grape/parallel/thread_local_message_buffer_opt.h", "C++", 261, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 32, 369
"/Users/yangjiaqi/Documents/hugegraph_concurrency/libgrape-lite/grape/serialization/fixed_in_archive.h", "C++", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 23, 124
"/Users/yangjiaqi/Documents/hugegraph_concurrency/libgrape-lite/grape/serialization/in_archive.h", "C++", 185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 42, 245
"/Users/yangjiaqi/Documents/hugegraph_concurrency/libgrape-lite/grape/serialization/out_archive.h", "C++", 262, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 44, 324
